U 57 | F 233472 | FPS 0494 | D 516 | rR:μσmM 0.69 0.25 0.00 0.97 | F:μσmM 58.7 84.8 5.0 654.0 | H 1.788 | V 0.403 | pL -0.049 | vL 0.037 | ∇ 0.189
U 58 | F 237568 | FPS 0470 | D 525 | rR:μσmM 0.29 0.35 0.00 0.91 | F:μσmM 189.3 114.3 35.0 397.0 | H 1.875 | V 0.154 | pL 0.062 | vL 0.006 | ∇ 0.042
U 59 | F 241664 | FPS 0473 | D 533 | rR:μσmM 0.77 0.18 0.17 0.98 | F:μσmM 36.4 28.1 4.0 133.0 | H 1.680 | V 0.547 | pL -0.141 | vL 0.020 | ∇ 0.089
U 60 | F 245760 | FPS 0448 | D 543 | rR:μσmM 0.41 0.36 0.00 0.92 | F:μσmM 167.0 122.0 18.0 362.0 | H 1.815 | V 0.204 | pL 0.097 | vL 0.004 | ∇ 0.042
Status saved
U 61 | F 249856 | FPS 0463 | D 551 | rR:μσmM 0.78 0.18 0.00 0.98 | F:μσmM 37.0 34.2 3.0 272.0 | H 1.733 | V 0.475 | pL -0.043 | vL 0.028 | ∇ 0.146
U 62 | F 253952 | FPS 0485 | D 560 | rR:μσmM 0.38 0.33 0.00 0.96 | F:μσmM 185.7 116.5 7.0 360.0 | H 1.789 | V 0.232 | pL 0.123 | vL 0.006 | ∇ 0.104
U 63 | F 258048 | FPS 0458 | D 569 | rR:μσmM 0.80 0.13 0.29 0.98 | F:μσmM 31.6 21.0 3.0 113.0 | H 1.693 | V 0.515 | pL -0.113 | vL 0.026 | ∇ 0.155
U 64 | F 262144 | FPS 0431 | D 578 | rR:μσmM 0.24 0.33 0.00 0.89 | F:μσmM 193.8 108.2 45.0 360.0 | H 1.760 | V 0.228 | pL 0.094 | vL 0.012 | ∇ 0.104
U 65 | F 266240 | FPS 0408 | D 588 | rR:μσmM 0.82 0.15 0.20 0.98 | F:μσmM 29.1 24.5 3.0 128.0 | H 1.632 | V 0.564 | pL -0.093 | vL 0.022 | ∇ 0.105
U 66 | F 270336 | FPS 0365 | D 600 | rR:μσmM 0.33 0.34 0.00 0.96 | F:μσmM 173.8 110.0 17.0 368.0 | H 1.708 | V 0.271 | pL 0.108 | vL 0.011 | ∇ 0.072
U 67 | F 274432 | FPS 0425 | D 609 | rR:μσmM 0.84 0.13 0.28 0.98 | F:μσmM 26.0 20.9 3.0 115.0 | H 1.588 | V 0.616 | pL -0.131 | vL 0.031 | ∇ 0.315
U 68 | F 278528 | FPS 0459 | D 618 | rR:μσmM 0.41 0.35 0.00 0.93 | F:μσmM 167.0 107.0 11.0 360.0 | H 1.722 | V 0.218 | pL 0.123 | vL 0.009 | ∇ 0.095
U 69 | F 282624 | FPS 0449 | D 627 | rR:μσmM 0.81 0.14 0.00 0.98 | F:μσmM 30.5 24.9 3.0 215.0 | H 1.623 | V 0.540 | pL -0.127 | vL 0.022 | ∇ 0.164
U 70 | F 286720 | FPS 0455 | D 636 | rR:μσmM 0.33 0.33 0.00 0.89 | F:μσmM 185.8 102.6 32.0 360.0 | H 1.738 | V 0.283 | pL 0.169 | vL 0.010 | ∇ 0.081
Status saved
U 71 | F 290816 | FPS 0455 | D 645 | rR:μσmM 0.76 0.21 0.00 0.98 | F:μσmM 37.6 32.9 4.0 144.0 | H 1.565 | V 0.468 | pL -0.048 | vL 0.026 | ∇ 0.131
U 72 | F 294912 | FPS 0417 | D 655 | rR:μσmM 0.35 0.32 0.00 0.96 | F:μσmM 193.3 122.0 7.0 384.0 | H 1.762 | V 0.180 | pL 0.064 | vL 0.007 | ∇ 0.094
U 73 | F 299008 | FPS 0436 | D 665 | rR:μσmM 0.78 0.21 0.00 0.98 | F:μσmM 34.5 31.3 3.0 157.0 | H 1.689 | V 0.468 | pL -0.085 | vL 0.034 | ∇ 0.141
U 74 | F 303104 | FPS 0433 | D 674 | rR:μσmM 0.49 0.33 0.00 0.94 | F:μσmM 164.9 101.6 25.0 360.0 | H 1.747 | V 0.274 | pL 0.086 | vL 0.012 | ∇ 0.082
U 75 | F 307200 | FPS 0453 | D 683 | rR:μσmM 0.85 0.11 0.25 0.98 | F:μσmM 24.4 18.3 3.0 120.0 | H 1.537 | V 0.681 | pL -0.126 | vL 0.015 | ∇ 0.101
U 76 | F 311296 | FPS 0465 | D 692 | rR:μσmM 0.51 0.31 0.00 0.87 | F:μσmM 156.5 82.5 54.0 360.0 | H 1.708 | V 0.310 | pL 0.163 | vL 0.015 | ∇ 0.140
U 77 | F 315392 | FPS 0475 | D 701 | rR:μσmM 0.82 0.14 0.27 0.98 | F:μσmM 28.6 22.9 4.0 117.0 | H 1.514 | V 0.600 | pL -0.046 | vL 0.023 | ∇ 0.167
U 78 | F 319488 | FPS 0468 | D 709 | rR:μσmM 0.32 0.29 0.00 0.75 | F:μσmM 191.6 105.2 41.0 496.0 | H 1.643 | V 0.291 | pL 0.128 | vL 0.008 | ∇ 0.081
U 79 | F 323584 | FPS 0423 | D 719 | rR:μσmM 0.85 0.10 0.51 0.98 | F:μσmM 24.6 16.0 3.0 79.0 | H 1.523 | V 0.634 | pL -0.133 | vL 0.016 | ∇ 0.154
U 80 | F 327680 | FPS 0449 | D 728 | rR:μσmM 0.45 0.32 0.00 0.90 | F:μσmM 174.2 88.0 38.0 360.0 | H 1.648 | V 0.316 | pL 0.105 | vL 0.012 | ∇ 0.094
Status saved
U 81 | F 331776 | FPS 0314 | D 741 | rR:μσmM 0.84 0.11 0.32 0.98 | F:μσmM 25.6 17.5 3.0 108.0 | H 1.495 | V 0.657 | pL -0.112 | vL 0.019 | ∇ 0.167
U 82 | F 335872 | FPS 0396 | D 752 | rR:μσmM 0.28 0.34 0.00 0.93 | F:μσmM 202.8 127.2 17.0 360.0 | H 1.778 | V 0.256 | pL 0.132 | vL 0.006 | ∇ 0.052
U 83 | F 339968 | FPS 0485 | D 760 | rR:μσmM 0.83 0.12 0.19 0.97 | F:μσmM 27.0 19.5 5.0 129.0 | H 1.588 | V 0.590 | pL -0.129 | vL 0.018 | ∇ 0.135
U 84 | F 344064 | FPS 0483 | D 768 | rR:μσmM 0.44 0.32 0.00 0.90 | F:μσmM 171.8 109.1 24.0 365.0 | H 1.752 | V 0.262 | pL 0.105 | vL 0.010 | ∇ 0.097
U 85 | F 348160 | FPS 0400 | D 779 | rR:μσmM 0.87 0.08 0.41 0.98 | F:μσmM 21.3 13.3 4.0 94.0 | H 1.436 | V 0.692 | pL -0.153 | vL 0.014 | ∇ 0.128
U 86 | F 352256 | FPS 0392 | D 789 | rR:μσmM 0.40 0.33 0.00 0.91 | F:μσmM 183.7 94.3 35.0 360.0 | H 1.671 | V 0.292 | pL 0.112 | vL 0.016 | ∇ 0.058
U 87 | F 356352 | FPS 0440 | D 799 | rR:μσmM 0.87 0.08 0.52 0.99 | F:μσmM 20.5 13.0 2.0 77.0 | H 1.450 | V 0.721 | pL -0.095 | vL 0.011 | ∇ 0.124
U 88 | F 360448 | FPS 0459 | D 807 | rR:μσmM 0.60 0.26 0.00 0.88 | F:μσmM 150.8 88.8 48.0 360.0 | H 1.616 | V 0.380 | pL 0.075 | vL 0.016 | ∇ 0.113
U 89 | F 364544 | FPS 0381 | D 818 | rR:μσmM 0.87 0.09 0.32 0.98 | F:μσmM 21.4 13.7 3.0 108.0 | H 1.492 | V 0.697 | pL -0.073 | vL 0.013 | ∇ 0.168
U 90 | F 368640 | FPS 0404 | D 828 | rR:μσmM 0.47 0.37 0.00 0.93 | F:μσmM 148.1 106.8 27.0 382.0 | H 1.650 | V 0.298 | pL 0.095 | vL 0.012 | ∇ 0.187
Status saved
U 91 | F 372736 | FPS 0393 | D 839 | rR:μσmM 0.86 0.09 0.22 0.98 | F:μσmM 21.9 14.5 3.0 124.0 | H 1.487 | V 0.700 | pL -0.130 | vL 0.013 | ∇ 0.116
U 92 | F 376832 | FPS 0377 | D 850 | rR:μσmM 0.56 0.31 0.00 0.95 | F:μσmM 151.2 95.4 18.0 360.0 | H 1.666 | V 0.327 | pL 0.088 | vL 0.015 | ∇ 0.120
U 93 | F 380928 | FPS 0388 | D 860 | rR:μσmM 0.87 0.09 0.26 0.99 | F:μσmM 20.9 13.8 2.0 119.0 | H 1.483 | V 0.729 | pL -0.092 | vL 0.009 | ∇ 0.103
U 94 | F 385024 | FPS 0439 | D 870 | rR:μσmM 0.58 0.29 0.00 0.93 | F:μσmM 146.6 93.0 29.0 360.0 | H 1.710 | V 0.392 | pL 0.101 | vL 0.016 | ∇ 0.109
U 95 | F 389120 | FPS 0409 | D 880 | rR:μσmM 0.87 0.08 0.52 0.98 | F:μσmM 21.5 13.1 4.0 76.0 | H 1.517 | V 0.699 | pL -0.062 | vL 0.010 | ∇ 0.102
U 96 | F 393216 | FPS 0393 | D 890 | rR:μσmM 0.65 0.22 0.00 0.94 | F:μσmM 134.7 73.5 25.0 360.0 | H 1.709 | V 0.360 | pL 0.085 | vL 0.013 | ∇ 0.130
U 97 | F 397312 | FPS 0419 | D 900 | rR:μσmM 0.87 0.07 0.61 0.98 | F:μσmM 20.7 11.0 3.0 63.0 | H 1.559 | V 0.730 | pL -0.072 | vL 0.009 | ∇ 0.094
U 98 | F 401408 | FPS 0423 | D 910 | rR:μσmM 0.50 0.34 0.00 0.87 | F:μσmM 147.7 93.4 51.0 360.0 | H 1.757 | V 0.280 | pL 0.096 | vL 0.019 | ∇ 0.122
U 99 | F 405504 | FPS 0432 | D 919 | rR:μσmM 0.88 0.07 0.54 0.98 | F:μσmM 19.4 11.0 4.0 73.0 | H 1.521 | V 0.728 | pL -0.086 | vL 0.009 | ∇ 0.050
U 100 | F 409600 | FPS 0409 | D 929 | rR:μσmM 0.57 0.32 0.00 0.97 | F:μσmM 146.4 101.1 13.0 360.0 | H 1.756 | V 0.335 | pL 0.094 | vL 0.014 | ∇ 0.133
Status saved
